roll,"('🚬', 6.369925001442312)"
smoke,"('😏', 6.369925001442312)"
put,"('👏', 6.369925001442312)"
just,"('👌', 6.369925001442312)"
baked,"('👨', 6.369925001442312)"
lmaooooooooooo,"('👋', 6.369925001442312)"
raise,"('👏', 6.369925001442312)"
yo,"('👈', 6.369925001442312)"
turnt,"('👋', 6.369925001442312)"
both,"('🍁', 6.369925001442312)"
hands,"('😎', 6.369925001442312)"
mornin,"('💰', 6.369925001442312)"
haaaaaaaaaaaa,"('👌', 6.369925001442312)"
fuckin,"('👨', 6.369925001442312)"
kite,"('😎', 6.369925001442312)"
s,"('🐖', 6.369925001442312)"
c,"('🚺', 6.369925001442312)"
k,"('💥', 16.935709286104398)"
n,"('🚺', 6.369925001442312)"
g,"('💥', 6.369925001442312)"
h,"('😯', 6.369925001442312)"
e,"('🚫', 6.369925001442312)"
cant,"('🕦', 6.369925001442312)"
even,"('👏', 12.452568050804153)"
smoking,"('💦', 6.369925001442312)"
dankest,"('😎', 6.369925001442312)"
herb,"('💦', 6.369925001442312)"
some,"('🍌', 6.369925001442312)"
triple,"('👌', 6.369925001442312)"
winston,"('🌱', 6.369925001442312)"
mega,"('👌', 6.369925001442312)"
duuuuuuuuuuuuuuuuuuuuuuuuuuuudde,"('💩', 6.369925001442312)"
inhales,"('💦', 6.369925001442312)"
cough,"('👨', 6.369925001442312)"
haahhaaahahahahah,"('😅', 6.369925001442312)"
laughing,"('👆', 6.369925001442312)"
narsh,"('🍁', 6.369925001442312)"
weeed,"('\U0001f92e', 3.3699250014423123)"
dood,"('👺', 3.3699250014423123)"
united,"('🇺🇸', 12.810716333604272)"
parcel,"('📦', 5.244394119358455)"
people,"('👯', 5.244394119358455)"
post,"('📮', 5.244394119358455)"
office,"('🏤', 5.244394119358455)"
cloudy,"('☁', 5.244394119358455)"
pissssss,"('💦', 5.244394119358455)"
thought,"('👓', 1.2)"
cool,"('😎', 7.7037807481771035)"
drugs,"('🚬', 1.2)"
trap,"('🔒', 2.2)"
fidgetspinner,"('💫', 6.369925001442312)"
sea,"('😱', 6.369925001442312)"
mean,"('😟', 7.699845887083206)"
spin,"('2️⃣', 4.007354922057604)"
reached,"('⬆', 6.858211482751795)"
enlightenment,"('😇', 6.858211482751795)"
spinner,"('😮', 4.6594316186372975)"
headset,"('😎', 6.503780748177102)"
funeral,"('😔', 6.503780748177102)"
waifu,"('👘', 6.503780748177102)"
system,"('🚀', 6.503780748177102)"
intergalactic,"('😳', 4.8438561897747245)"
saying,"('📣', 6.675733430966398)"
christ,"('🤒', 5.244394119358455)"
yelled,"('😤', 5.8438561897747245)"
frontpager,"('😩', 5.8438561897747245)"
emoji,"('💯', 5.8438561897747245)"
superior,"('⏫', 6.177279923499918)"
as,"('😩', 6.177279923499918)"
typo,"('😱', 6.177279923499918)"
big,"('🔝', 8.165784284662086)"
load,"('💦', 30.94273655299837)"
